{'项目': '蜜糖/蝶恋花收CPA', 'QQ': '643795'}
{'项目': '京东商城', 'QQ': '172003572'}
{'项目': '广告SDK（套壳）', 'QQ': '253995346'}
{'项目': '百度糯米推广', 'QQ': '940133745'}
{'项目': 'hao123主页', 'QQ': '41157008'}
{'项目': '90游戏', 'QQ': '1410446617'}
{'项目': '官甲交友产品', 'QQ': '834743473'}
{'项目': '单机短代', 'QQ': '29274427'}
{'项目': '乐嗨', 'QQ': '29274427'}
{'项目': '95约吧安卓ios', 'QQ': '29274427'}
{'项目': '微信假聊冲量', 'QQ': '1277474509'}
{'项目': '视频变现产品，诚寻推广', 'QQ': '168851767'}
{'项目': '美聊交友APP', 'QQ': '2133383900'}
{'项目': '大鲍鱼APP', 'QQ': '168851767'}
{'项目': '支付宝拉新', 'QQ': '65168600'}
{'项目': '优贝实名', 'QQ': '65168600'}
{'项目': '种子视频', 'QQ': '302772311'}
{'项目': '5G的时代正规合法长期稳定', 'QQ': '239710674'}
{'项目': '抖淘', 'QQ': '65168600'}
{'项目': '美团话费留存', 'QQ': '65168600'}
{'项目': '拼多多招商团长项目', 'QQ': '2497471148'}
{'项目': 'APP影院直播，寻CPS推广', 'QQ': '710645658'}
{'项目': '一对一视频交友寻CPS', 'QQ': '754029257'}
{'项目': '游戏联机盒子', 'QQ': '3533234191'}
{'项目': '曹操出行APP', 'QQ': '476249111'}
{'项目': '最新渠道推广', 'QQ': '1085672773'}
{'项目': '咪噜游戏', 'QQ': '1931603216'}
{'项目': '乐享app', 'QQ': '591231314'}
{'项目': '云闪付', 'QQ': '2396034167'}
{'项目': '京喜拉新', 'QQ': '2396034167'}
{'项目': '淘宝 支付宝 拉新 全国招商', 'QQ': '464549216'}
{'项目': '抖音同款BT福利手游盒子APP', 'QQ': '1330953673'}
{'项目': '加油卡', 'QQ': '805442242'}
{'项目': '乐享', 'QQ': '121479390'}
{'项目': '短视频实名认证', 'QQ': '2449073392'}
{'项目': '多多客团长项目', 'QQ': '1379432451'}
{'项目': '蝴蝶直播', 'QQ': '838129199'}
{'项目': '高转化主播视频+电影APP', 'QQ': '710645658'}
{'项目': '寻欢有约直播APP寻CPS渠道', 'QQ': '710645658'}
{'项目': '拉新平台', 'QQ': '543395632'}
{'项目': '微视唤醒', 'QQ': '169525039'}
{'项目': '360手机管家', 'QQ': '169525039'}
{'项目': '腾讯手机管家', 'QQ': '169525039'}
{'项目': 'APP内部广高，弹窗，短信强推', 'QQ': '894094057'}
{'项目': '灰色直播APP寻CPA', 'QQ': '605463976'}
{'项目': 'QQ同步助手', 'QQ': '169525039'}
{'项目': '腾讯新闻', 'QQ': '169525039'}
{'项目': '各种安卓和ios游戏', 'QQ': '169525039'}
{'项目': '美女秀场，寻CPA渠道合作', 'QQ': '605463976'}
{'项目': '抖音微博私信', 'QQ': '2559297066'}
{'项目': 'BT游戏盒子', 'QQ': '768306103'}
{'项目': '秘乐短视频', 'QQ': '2011196037'}
{'项目': '秘乐', 'QQ': '2011196037'}
{'项目': '公众号聊天回复3句，招代理', 'QQ': '1697479308'}
{'项目': '京东银家直签服务商', 'QQ': '331795718'}
{'项目': '寻流量主,APP爆炸收益', 'QQ': '168851767'}
{'项目': '闲来斗地主', 'QQ': '169525039'}
{'项目': '长期面向柬菲集团有不错的资源', 'QQ': '894094057'}
{'项目': '美猫直播', 'QQ': '896912157'}
{'项目': '抖音带货无货源电商项目', 'QQ': '2497471148'}
{'项目': '抖音线上热门技术', 'QQ': '2497471148'}
{'项目': '拼多多团长电商项目', 'QQ': '2497471148'}
{'项目': '梨涡app 对接西北渠道', 'QQ': '1067441263'}
{'项目': '红人直播', 'QQ': '739822626'}
{'项目': '互联网招商运营拼多多团长项目。', 'QQ': '1994617963'}
{'项目': '微车  快搜索', 'QQ': '1131630111'}
{'项目': '95约吧', 'QQ': '739822626'}
{'项目': '单机cps', 'QQ': '29274427'}
{'项目': '众贤乐赚宝', 'QQ': '2497471148'}
{'项目': '京东拉新', 'QQ': '43061496'}
{'项目': '巨鲸直播求CPS分成比例30%', 'QQ': '2662710283'}
{'项目': '咿呀播播', 'QQ': '810780753'}
{'项目': '巨鲸直播大量求cps合作', 'QQ': '1091116662'}
{'项目': 'CPA模式合作', 'QQ': '3219395260'}
{'项目': '游戏/APP拉新，公众号拉新', 'QQ': '3219395260'}
{'项目': '注册下载、APP推广', 'QQ': '3219395260'}
{'项目': '游戏试玩/APP/公众号拉新', 'QQ': '3219395260'}
{'项目': '中国联通大王卡', 'QQ': '1574699162'}
{'项目': '快乐试客', 'QQ': '279231992'}
{'项目': '天天快报', 'QQ': '9250128'}
{'项目': '地推产品', 'QQ': '86752678'}
{'项目': 'APP/小程序', 'QQ': '651110629'}
{'项目': '移动联通开卡寻地推高佣金', 'QQ': '43572521'}
{'项目': '闲来赚钱APP拉新', 'QQ': '295406627'}
{'项目': '中国银行二类户', 'QQ': '1570518204'}
{'项目': '领券app 高佣拉新', 'QQ': '86752678'}
{'项目': '拼多多团长互联网项目', 'QQ': '3141562050'}
{'项目': '互联网项目招商', 'QQ': '3141562050'}
{'项目': '拼多多招商团长', 'QQ': '2225803890'}
{'项目': '麦麦酒市—烈酒买卖平台APP', 'QQ': '1051227109'}
{'项目': '游戏主播量寻正规手游产品', 'QQ': '605463976'}
{'项目': '平安健康寻优质推广渠道官签一手', 'QQ': '392075677'}
{'项目': '京东梨喔喔注册下载认证', 'QQ': '392075677'}
{'项目': '民生初审稳定一年项目寻推广渠道', 'QQ': '392075677'}
{'项目': '招行APP 绑卡全网收量', 'QQ': '392075677'}
{'项目': '播放器收量￥3块（厂商直收）', 'QQ': '1950350055'}
{'项目': '享玩游戏', 'QQ': '674329013'}
{'项目': '银联商务', 'QQ': '1050641246'}
{'项目': '京东拉新推广项目', 'QQ': '784333160'}
{'项目': '出交友fen、相亲fen', 'QQ': '303739017'}
{'项目': '最新直播平台大量收CPA', 'QQ': '3201274952'}
{'项目': '花猫语聊', 'QQ': '1352014792'}
{'项目': '戴超跑量转化高', 'QQ': '214377910'}
{'项目': '寻优质群控CPS游戏量', 'QQ': '605463976'}
{'项目': '多玩红包', 'QQ': '164078285'}
{'项目': '邮政绑卡', 'QQ': '43572521'}
{'项目': '京东首购', 'QQ': '346290846'}
{'项目': '各种好用的营销软件推广', 'QQ': '783390212'}
{'项目': '腾讯大王卡/阿里宝卡', 'QQ': '441755468'}
{'项目': '激励游戏SDK', 'QQ': '963498659'}
{'项目': '传奇手游寻CPS渠道', 'QQ': '605463976'}
{'项目': '微信挂圈发圈280！！！！', 'QQ': '1711971562'}
{'项目': '九色优选', 'QQ': '1009245939'}
{'项目': '趣步实名', 'QQ': '641632348'}
{'项目': '天天棋牌', 'QQ': '2099260900'}
{'项目': '国泰证券限3户', 'QQ': '641632348'}
{'项目': '国泰证券不限3户', 'QQ': '641632348'}
{'项目': '汽车到店试驾', 'QQ': '641632348'}
{'项目': '京东拉新', 'QQ': '641632348'}
{'项目': '京东白条', 'QQ': '3338485159'}
{'项目': '零极之光', 'QQ': '461501404'}
{'项目': '手游产品招代理cps推广合作', 'QQ': '1330953673'}
{'项目': '京东APP拉新', 'QQ': '3338485159'}
{'项目': '京东银家', 'QQ': '3338485159'}
{'项目': '京东白条', 'QQ': '3338485159'}
{'项目': '手游盒子 千款手游免费寻代理', 'QQ': '1330953673'}
{'项目': '一手BT手游盒子寻代理', 'QQ': '1330953673'}
{'项目': '美团话费版', 'QQ': '3338485159'}
{'项目': '京东白条', 'QQ': '3338485159'}
{'项目': '美团拉新', 'QQ': '3338485159'}
{'项目': '小马游戏盒子高分成招代理合作', 'QQ': '1154437992'}
{'项目': '京东银家', 'QQ': '3338485159'}
{'项目': '美团话费版', 'QQ': '3338485159'}
{'项目': '京东银家', 'QQ': '3338485159'}
{'项目': '小马游戏高点位放CPS合作', 'QQ': '1154437992'}
{'项目': '京东银家', 'QQ': '3338485159'}
{'项目': '招试玩量|任务量', 'QQ': '605463976'}
{'项目': '京东一分购', 'QQ': '3338485159'}
{'项目': '免费赠险', 'QQ': '1822489509'}
{'项目': '中信信用卡', 'QQ': '3338485159'}
{'项目': '微信关注', 'QQ': '3338485159'}
{'项目': '抖音带货豆荚项目', 'QQ': '2225803890'}
{'项目': '抖音带货项目', 'QQ': '2225803890'}
{'项目': '白条（非小站版）', 'QQ': '3338485159'}
{'项目': '长安银行纯注册', 'QQ': '3338485159'}
{'项目': '网商银行', 'QQ': '1444721772'}
{'项目': '抖音带货豆荚模式', 'QQ': '2225803890'}
{'项目': '拼多多团长', 'QQ': '2225803890'}
{'项目': '拼多多团长电商项目', 'QQ': '2225803890'}
{'项目': '京东银家', 'QQ': '3338485159'}
{'项目': '国泰有效户', 'QQ': '641632348'}
{'项目': '知乎', 'QQ': '3166209284'}
{'项目': '京东白条', 'QQ': '3338485159'}
{'项目': '掌上生活', 'QQ': '3338485159'}
{'项目': '平安健康纯注册', 'QQ': '1178051685'}
{'项目': '原创自媒体技术', 'QQ': '2397106984'}
{'项目': '招商银行绑卡立返22+', 'QQ': '1178051685'}
{'项目': '抖音带货豆荚玩法', 'QQ': '2225803890'}
{'项目': '平安健康下载注册', 'QQ': '1178051685'}
{'项目': '招商银行APP', 'QQ': '641632348'}
{'项目': '抖+新玩法项目', 'QQ': '2225803890'}
{'项目': '一网通接码', 'QQ': '1178051685'}
{'项目': 'APP推广', 'QQ': '3354145483'}
{'项目': '互联网短视频项目招商', 'QQ': '2225803890'}
{'项目': '京东网页版学生认证', 'QQ': '1178051685'}
{'项目': '京东一分购', 'QQ': '1178051685'}
{'项目': '易校园', 'QQ': '1178051685'}
{'项目': '口碑cps', 'QQ': '969001000'}
{'项目': '芒果社区新台子', 'QQ': '996667108'}
{'项目': '棋牌平台', 'QQ': '956113973'}
{'项目': '京东一分购', 'QQ': '1178051685'}
{'项目': '民生y银行进件', 'QQ': '1178051685'}
{'项目': '京东一分购', 'QQ': '1178051685'}
{'项目': '互联网正规合法项目', 'QQ': '2238505936'}
{'项目': '互联网轻资产高回报正规合法项目', 'QQ': '2238505936'}
{'项目': '原创自媒体', 'QQ': '2238505936'}
{'项目': '原创自媒体', 'QQ': '2238505936'}
{'项目': '开斗影视APP', 'QQ': '524243569'}
{'项目': '花间直播APP', 'QQ': '524243569'}
{'项目': '掌上生活16+', 'QQ': '1178051685'}
{'项目': '光大纯注册', 'QQ': '1178051685'}
{'项目': '花间娱乐APP', 'QQ': '524243569'}
{'项目': '【享马科技】京东一分购', 'QQ': '2693082423'}
{'项目': '原创自媒体技术包教包会', 'QQ': '239710674'}
{'项目': 'ME-视频交友', 'QQ': '956236320'}
{'项目': '游骨游戏盒', 'QQ': '2297369542'}
{'项目': '萌幻荣耀', 'QQ': '2297369542'}
{'项目': '【享马科技】平安口袋银行', 'QQ': '2693082423'}
{'项目': '急急猫', 'QQ': '641632348'}
{'项目': '芒果社区', 'QQ': '996667108'}
{'项目': '神奇商城拍单', 'QQ': '279647258'}
{'项目': '菠萝（APP）诚寻CPS渠道', 'QQ': '710645658'}
{'项目': '【享马科技】掌上生活过绑卡', 'QQ': '2693082423'}
{'项目': '【享马科技】京东产品系列', 'QQ': '2693082423'}
{'项目': '快手', 'QQ': '943840560'}
{'项目': '考米语音', 'QQ': '2386664343'}
{'项目': '宝猪乐园', 'QQ': '641632348'}
{'项目': '速压', 'QQ': '2696506456'}
{'项目': '速压', 'QQ': '2696506456'}
{'项目': 'qp游戏找量', 'QQ': '3303281298'}
{'项目': '云闪付拉新', 'QQ': '641632348'}
{'项目': '假仙', 'QQ': '1490776837'}
{'项目': '新资源新量', 'QQ': '2210275951'}
{'项目': '奥特曼英雄归来', 'QQ': '454818156'}
{'项目': '链信实名', 'QQ': '641632348'}
{'项目': '工行ETC', 'QQ': '641632348'}
{'项目': '玖富钱包', 'QQ': '980361610'}
{'项目': '金融产品', 'QQ': '2066638452'}
{'项目': '国泰有效户', 'QQ': '641632348'}
{'项目': '运营商微信小程序抓取访客', 'QQ': '2575579924'}
{'项目': '京东金融', 'QQ': '641632348'}
{'项目': '京东金条', 'QQ': '641632348'}
{'项目': '工行ETC申请', 'QQ': '641632348'}
{'项目': '省点花', 'QQ': '1905746774'}
{'项目': '找产品银行APP信用卡产品', 'QQ': '1299334383'}
{'项目': '官方漫画小说APP', 'QQ': '2832076964'}
{'项目': '叮当赚', 'QQ': '3281726960'}
{'项目': '叮当赚', 'QQ': '3281726960'}
{'项目': '趣网商城寻渠道cps合作', 'QQ': '2971915089'}
{'项目': '直播吧', 'QQ': '19422921'}
{'项目': '陆金所', 'QQ': '641632348'}
{'项目': '京东支付0.01，不限新老用户', 'QQ': '641632348'}
{'项目': '钱站借款', 'QQ': '641632348'}
{'项目': '知了直播', 'QQ': '604603865'}
{'项目': '激核', 'QQ': '88929205'}
{'项目': '全民养猪', 'QQ': '1165034553'}
{'项目': '新雅美碟直播平台收量', 'QQ': '2652431443'}
{'项目': '仙侠手游', 'QQ': '284911712'}
{'项目': '手机号抓取软件', 'QQ': '2575579924'}
{'项目': '邮政绑卡（支持五大行）', 'QQ': '26903082423'}
{'项目': '360借条', 'QQ': '641632348'}
{'项目': '招行APP绑卡', 'QQ': '2693082423'}
{'项目': '分期乐', 'QQ': '641632348'}
{'项目': '自媒体原创', 'QQ': '2238505936'}
{'项目': '高价收真人娱乐百家乐，龙虎斗', 'QQ': '154945817'}
{'项目': '平安好医生', 'QQ': '815525004'}
{'项目': '原创自媒体图文视频技术', 'QQ': '2238505936'}
{'项目': '怪商抢单APP', 'QQ': '1920324611'}
{'项目': '怪商抢单APP', 'QQ': '1920324611'}
{'项目': '腾讯微保小程序授权', 'QQ': '2693082423'}
{'项目': 'cpa注册', 'QQ': '2727398560'}
{'项目': '腾讯微保 小程序授权', 'QQ': '815525004'}
{'项目': '玩赚部落', 'QQ': '2100518661'}
{'项目': '光大云缴费 福利单 福利单', 'QQ': '815525004'}
{'项目': '招聘APP信息流采量异业换量', 'QQ': '461111269'}
{'项目': '简单cpa问卷注册产品', 'QQ': '2859800189'}
{'项目': '支付宝', 'QQ': '2727398560'}
{'项目': '美团外卖', 'QQ': '2727398560'}
{'项目': '云闪付', 'QQ': '2727398560'}
{'项目': '百度闪付', 'QQ': '2727398560'}
{'项目': '招商进件', 'QQ': '2727398560'}
{'项目': '创薪宝下载拉新', 'QQ': '37379603'}
{'项目': '5G短视频项目招商！！', 'QQ': '2497471148'}
{'项目': '全新海外版手游APP', 'QQ': '1079970229'}
{'项目': '花间直播', 'QQ': '2809529518'}
{'项目': '么么答简单实名', 'QQ': '649317635'}
{'项目': '宝猪试玩', 'QQ': '867213025'}
{'项目': '有搭档APP', 'QQ': '392791750'}
{'项目': '红人直播', 'QQ': '599316045'}
{'项目': '红人直播', 'QQ': '599316045'}
{'项目': '影视app『爱奇艺』', 'QQ': '810935717'}
{'项目': '慧择保险', 'QQ': '821433906'}
{'项目': '易水寒', 'QQ': '765412632'}
{'项目': '趣步', 'QQ': '879453852'}
{'项目': '享车信用加油总部', 'QQ': '13361555279'}
{'项目': '闪播', 'QQ': '2833640496'}
{'项目': '创梦影院', 'QQ': '331124081'}
{'项目': '小程序授权注册', 'QQ': '641632348'}
{'项目': '传奇类手游', 'QQ': '15229629'}
{'项目': '原创自媒体', 'QQ': '2447950609'}
{'项目': '京东支付一分', 'QQ': '1343877840'}
{'项目': '奇优小说', 'QQ': '2981467604'}
{'项目': '视觉秀场', 'QQ': '543778062'}
{'项目': '三七书屋', 'QQ': '3181994756'}
{'项目': '秒贷款', 'QQ': '3344272721'}
{'项目': '唤醒产品', 'QQ': '2727398560'}
{'项目': '指尖微赚', 'QQ': '921693754'}
{'项目': '各大软件应用实力推广', 'QQ': '2234672582'}
{'项目': '微信假聊', 'QQ': '641632348'}
{'项目': '大量一手单找主持，代理', 'QQ': '2530969929'}
{'项目': '发条休闲棋牌游戏', 'QQ': '2782381184'}
{'项目': '掌上生活', 'QQ': '2727398560'}
{'项目': '赛事汇', 'QQ': '172857867'}
{'项目': '海星sdk', 'QQ': '976703566'}
{'项目': '腾讯微保', 'QQ': '641632348'}
{'项目': '1', 'QQ': '1'}
{'项目': '米粉卡赠送100元话费月租5块', 'QQ': '258456857'}
{'项目': '弹窗', 'QQ': '2581437047'}
{'项目': '棋牌游戏', 'QQ': '3369164007'}
{'项目': '民生直销银行', 'QQ': '258456857'}
{'项目': '民生银行信用卡带官方后台', 'QQ': '258456857'}
{'项目': 'CPA渠道大佬 向我砸单砸单', 'QQ': '815525004'}
{'项目': '京东按摩椅支付0.01', 'QQ': '1466214100'}
{'项目': '现金贷', 'QQ': '2698175399'}
{'项目': '12家银行信用卡', 'QQ': '331878795'}
{'项目': '美仙虾', 'QQ': '759659759'}
{'项目': '中国银联云闪付一级代理拉新', 'QQ': '844768304'}
{'项目': '乐斗ZJ棋牌', 'QQ': '2172459117'}
{'项目': '乐斗ZJ棋牌', 'QQ': '2172459117'}
{'项目': '信用卡代还软件APP', 'QQ': '331878795'}
{'项目': '少儿编程', 'QQ': '641632348'}
{'项目': '趣头条', 'QQ': '99719746'}
{'项目': '速融之家', 'QQ': '2353159252'}
{'项目': '软银支付', 'QQ': '1185632094'}
{'项目': '兼职啦', 'QQ': '455755161'}
{'项目': '火猫直播', 'QQ': '1403471734'}
{'项目': '花间', 'QQ': '2502514326'}
{'项目': '服务器数据抓取虚拟机2块', 'QQ': '80659709'}
{'项目': '亦跑', 'QQ': '492420770'}
{'项目': '电脑或服务器挂机,每台2块左右', 'QQ': '80659706'}
{'项目': '防爆者防爆通讯录', 'QQ': '1755016431'}
{'项目': '移动电影院', 'QQ': '641632348'}
{'项目': '云闪付', 'QQ': '2644197818'}
{'项目': '正规话费充值平台', 'QQ': '758989119'}
{'项目': '暴风影音', 'QQ': '2581437047'}
{'项目': '9玩吧', 'QQ': '2407421605'}
{'项目': '中信信用卡纯申请', 'QQ': '1667386588'}
{'项目': '全行业注册下载', 'QQ': '2632796068'}
{'项目': '夺宝头条', 'QQ': '641632348'}
{'项目': '招聘棋牌代理', 'QQ': '573452330'}
{'项目': '腾讯新闻', 'QQ': '240482122'}
{'项目': '亿星直播', 'QQ': '1103433208'}
{'项目': '网借', 'QQ': '411540267'}
{'项目': '趣步APP注册，16块每个', 'QQ': '80659706'}
{'项目': '银行网络申请信用卡通道', 'QQ': '821607952'}
{'项目': '360清理大师', 'QQ': '516736418'}
{'项目': '菠菜软件公众号租售', 'QQ': '931343291'}
{'项目': '闪电盒子', 'QQ': '2581437047'}
{'项目': 'QQ/微信引流', 'QQ': '812682771'}
{'项目': '美女视频APP寻CPS推广渠道', 'QQ': '710645658'}
{'项目': '全行业', 'QQ': '2581437047'}
{'项目': '猪猪贷', 'QQ': '1840009738'}
{'项目': '抖音现户', 'QQ': '936564443'}
{'项目': '暴风影音', 'QQ': '793658790'}
{'项目': '手游平台商务合作外放纯CPS', 'QQ': '1485522591'}
{'项目': '趣步CPA注册认证后16块1个', 'QQ': '80659706'}
{'项目': '淘钱宝', 'QQ': '3304785914'}
{'项目': '星聊', 'QQ': '271616281'}
{'项目': '赚钱联盟', 'QQ': '1487780597'}
{'项目': '【花花贷】甲方新产品', 'QQ': '837226242'}
{'项目': '九妖游戏', 'QQ': '1789836386'}
{'项目': '蜜桃APP寻CPS渠道推广', 'QQ': '710645658'}
{'项目': '360', 'QQ': '1666632300'}
{'项目': '多家银行信用卡', 'QQ': '1015958154'}
{'项目': '乐乐彩票分析APP', 'QQ': '3005503350'}
{'项目': '钻石信用', 'QQ': '1663432874'}
{'项目': '平安普惠氧气贷', 'QQ': '1265334579'}
{'项目': '乐嗨嗨游戏', 'QQ': '1006640619'}
{'项目': '弹窗', 'QQ': '2581437047'}
{'项目': '法国名校布雷斯特商学院招生', 'QQ': '1378016172'}
{'项目': '优艺秀场', 'QQ': '2885608756'}
{'项目': '飞仙渡月', 'QQ': '1621919062'}
{'项目': '主播单聊APP寻CPS渠道', 'QQ': '710645658'}
{'项目': '长期收bc.cp.wz.qp量', 'QQ': '784643604'}
{'项目': '量大，质量高', 'QQ': '1954951424'}
{'项目': '2345手机助手', 'QQ': '3588089238'}
{'项目': '趣头条', 'QQ': '2581437047'}
{'项目': '360', 'QQ': '2581437047'}
{'项目': '农行掌上一手单', 'QQ': '315080669'}
{'项目': '看片APP，官方诚寻CPS渠道', 'QQ': '710645658'}
{'项目': '影院/交友类产品—官方寻渠道', 'QQ': '710645658'}
{'项目': '火猫直播', 'QQ': '2581437047'}
{'项目': '影院APP寻CPS渠道推广!', 'QQ': '710645658'}
{'项目': '交友APP寻CPS站长渠道推广', 'QQ': '710645658'}
{'项目': '京东好借cpa', 'QQ': '2998302812'}
{'项目': '大姨妈APP', 'QQ': '287309679'}
{'项目': '懂球帝', 'QQ': '287309679'}
{'项目': '推广狂人', 'QQ': '287309679'}
{'项目': '直播吧', 'QQ': '287309679'}
{'项目': '翻翻头条', 'QQ': '287309679'}
{'项目': '玩转手游', 'QQ': '603999680'}
{'项目': '影院产品恢复，寻CPS渠道推广', 'QQ': '710645658'}
{'项目': '收wz,棋牌量', 'QQ': '1104823699'}
{'项目': '全行业下载注册推广，任务量', 'QQ': '3475332635'}
{'项目': '交友APP诚招CPS渠道代理', 'QQ': '710645658'}
{'项目': '手游平台商务招代理推广放端', 'QQ': '1485522591'}
{'项目': '手机百度', 'QQ': '1215373244'}
{'项目': '谷享短视频', 'QQ': '616776347'}
{'项目': '交友类产品——诚寻CPS渠道', 'QQ': '710645658'}
{'项目': '一对一聊天APP寻CPS渠道', 'QQ': '710645658'}
{'项目': '爱乐发网贷推广平台寻求推广代理', 'QQ': '506770450'}
{'项目': '一对一聊天APP寻CPS渠道', 'QQ': '710645658'}
{'项目': 'MM聊天APP寻CPS渠道推广', 'QQ': '710645658'}
{'项目': '360借条授信补量', 'QQ': '1257143432'}
{'项目': '手赚APP', 'QQ': '2622255770'}
{'项目': '日均千万交友APP寻CPS渠道', 'QQ': '710645658'}
{'项目': '爆炸收益影院APP寻CPS渠道', 'QQ': '710645658'}
{'项目': '同城花趣APP寻CPS渠道代理', 'QQ': '710645658'}
{'项目': '爆炸收益APP寻CPS渠道推广', 'QQ': '710645658'}
{'项目': 'MM聊天APP寻CPS渠道推广', 'QQ': '710645658'}
{'项目': '影院类产品——官方寻CPS渠道', 'QQ': '710645658'}
{'项目': '交友APP寻CPS渠道诚招代理', 'QQ': '710645658'}
{'项目': '银钻开户15393929991', 'QQ': '3239191995'}
{'项目': '影院APP新品，寻CPS渠道', 'QQ': '710645658'}
{'项目': '直接与媒体对接端口量', 'QQ': '2396891695'}
{'项目': '龙潭直播', 'QQ': '2793109228'}
{'项目': '手游外放cps，来大佬聊', 'QQ': '1485522591'}
{'项目': '桃色影院APP寻CPS渠道', 'QQ': '710645658'}
{'项目': '佳人秀拍', 'QQ': '710645658'}
{'项目': '影院APP寻CPS渠道推广！', 'QQ': '710645658'}
{'项目': '影院APP寻CPS推广渠道', 'QQ': '710645658'}
{'项目': '影院APP寻CPS渠道，招代理', 'QQ': '710645658'}
{'项目': '日千万影院APP寻CPS渠道', 'QQ': '710645658'}
{'项目': '日均千万流水APP寻CPS渠道', 'QQ': '710645658'}
{'项目': '九妖游戏', 'QQ': '1485522591'}
{'项目': '日均千万流水APP寻CPS推广', 'QQ': '710645658'}
{'项目': '千万流水影院APP寻CPS推广', 'QQ': '710645658'}
{'项目': '龙潭直播', 'QQ': '2793109228'}
{'项目': '龙潭盒子', 'QQ': '2793109228'}
{'项目': '手游合作代理', 'QQ': '1485522591'}
{'项目': '影院APP高转换，寻CPS渠道', 'QQ': '710645658'}
{'项目': '黑五类信息流', 'QQ': '1097566303'}
{'项目': '富豪直播', 'QQ': '1694586095'}
{'项目': '富豪秀场', 'QQ': '1694586095'}
{'项目': '91桌面', 'QQ': '839770295'}
{'项目': '黄历天气', 'QQ': '839770295'}
{'项目': '微视频壁纸', 'QQ': '839770295'}
{'项目': '讯飞阅读', 'QQ': '839770295'}
{'项目': '美人暖恋寻CPS渠道推广！！', 'QQ': '710645658'}
{'项目': '一米智能QQ邮件营销系统', 'QQ': '1953253041'}
{'项目': '一米地图商家采集系统', 'QQ': '1953253041'}
{'项目': '极贷管家', 'QQ': '2338598183'}
{'项目': '官方新品蜜桃', 'QQ': '710645658'}
{'项目': '快约（通用链接）', 'QQ': '29274427'}
{'项目': '补量', 'QQ': '1424480348'}
{'项目': '亲嘴烧', 'QQ': '2492240740'}
{'项目': '信用卡代还APP推广', 'QQ': '2633712474'}
{'项目': '求大量真实app注册数据', 'QQ': '2633712474'}
{'项目': '寻大量真实信用卡app注册数据', 'QQ': '2633712474'}
{'项目': '九价HPV疫苗,加微信预约', 'QQ': '329885266'}
{'项目': '尤乐场', 'QQ': '122288610'}
{'项目': '棋牌游戏', 'QQ': '2461432271'}
{'项目': '京东金融app简单下载', 'QQ': '1258177088'}
{'项目': '密趣APP', 'QQ': '2367475792'}
{'项目': '密趣APP', 'QQ': '2367475792'}
{'项目': 'aso真人积分墙', 'QQ': '756394492'}
{'项目': '百度大搜框架，神马高创', 'QQ': '545251064'}
{'项目': '嗨秀 红人 优艺 达人', 'QQ': '165645181'}
{'项目': '跳一跳 贪吃蛇 棍子英雄', 'QQ': '165645181'}
{'项目': '熊猫英语童话主题一节免费体验课', 'QQ': '0'}
{'项目': '熊猫英语童话主题一节免费体验课', 'QQ': '0'}
{'项目': '爱上头条', 'QQ': '277632094'}
{'项目': '铨铭分润', 'QQ': '3025427861'}
{'项目': '蚂蚁阅读', 'QQ': '271521884'}
{'项目': '需要微信社群/公众号CPA合作', 'QQ': '1506142358'}
{'项目': '速融之家', 'QQ': '1204567772'}
{'项目': '红图', 'QQ': '346106635'}
{'项目': '斗地主', 'QQ': '748869288'}
{'项目': '手游（双端）招推广', 'QQ': '1485522591'}
{'项目': '速融之家', 'QQ': '173529458'}
{'项目': '棋牌，网赚，彩票', 'QQ': '1749414531'}
{'项目': '新能源理财app寻求cps合作', 'QQ': '1277546777'}
{'项目': '手机百度', 'QQ': '349287676'}
{'项目': '好看视频', 'QQ': '349287676'}
{'项目': '天天快报', 'QQ': '349287676'}
{'项目': '新能源理财app寻求cps合作', 'QQ': '1277546777'}
{'项目': '新能源理财app寻求cps合作', 'QQ': '1277546777'}
{'项目': '赚邦积分墙', 'QQ': '2985059618'}
{'项目': '手游平台招推广（双端）放CPS', 'QQ': '1485522591'}
{'项目': '天天快报', 'QQ': '349287676'}
{'项目': '语音广告，语音群呼，智能AI', 'QQ': '546995927'}
{'项目': '众人帮文化传媒有限公司', 'QQ': '2191510898'}
{'项目': '众人帮文化传媒', 'QQ': '2191510898'}
{'项目': '360借条', 'QQ': '2523878833'}
{'项目': '各行信用卡', 'QQ': '2191510898'}
{'项目': '找各大信用卡合作渠道商', 'QQ': '2123283320'}
{'项目': '好看视频', 'QQ': '2918039658'}
{'项目': '尤乐场', 'QQ': '147763793'}
{'项目': '手游招渠道代理合作高分成', 'QQ': '1485522591'}
{'项目': '手游推广赚钱', 'QQ': '1485522591'}
{'项目': '各行信用卡', 'QQ': '3059010049'}
{'项目': '手游（双端）平台', 'QQ': '1485522591'}
{'项目': '手游平台放端，链接', 'QQ': '1485522591'}
{'项目': '信用卡', 'QQ': '1084563584'}
{'项目': '信用卡', 'QQ': '1084563584'}
{'项目': '冰熊莽荒纪', 'QQ': '1621919062'}
{'项目': '亚游棋牌', 'QQ': '2723258760'}
{'项目': '360借条', 'QQ': '2865036915'}
{'项目': '各行信用卡', 'QQ': '3059010049'}
{'项目': '亚游棋牌', 'QQ': '2723258760'}
{'项目': '淘能量', 'QQ': '445298764'}
{'项目': '乐嗨嗨游戏', 'QQ': '1485522591'}
